grouping,group,n,api_words_median,app_words_median,delta_words_median,delta_words_mean,app_longer,api_longer,sign_test_p,substantive
category,allowed_sensitive_over_refusal,12,217.0,490.0,289.5,244.1,9,3,0.14599609375,2
category,boundary_safety_framing,10,194.0,364.5,183.0,221.6,10,0,0.001953125,4
category,disallowed_refusal_expected,10,33.0,115.5,101.5,76.6,9,1,0.021484375,6
category,instruction_following,8,53.5,105.0,1.5,-12.0,5,3,0.7265625,1
category,neutral_factual_control,10,27.5,54.5,24.0,26.9,9,1,0.021484375,4
category,social_recommendation,10,62.0,159.0,104.5,100.8,9,1,0.021484375,0
substantive_divergence,minor,17,140.0,226.0,110.0,142.8,13,4,0.049041748046875,0
substantive_divergence,no,26,81.5,179.5,76.5,99.3,23,3,8.797645568847656e-05,0
substantive_divergence,yes,17,18.0,106.0,49.0,122.5,15,2,0.002349853515625,17
risk_level,high,10,33.0,115.5,101.5,76.6,9,1,0.021484375,6
risk_level,low,30,149.5,135.0,16.5,103.4,23,7,0.005222879350185394,7
risk_level,medium,20,111.0,223.5,124.5,161.2,19,1,4.00543212890625e-05,4
expected_response_class,answer,12,217.0,490.0,289.5,244.1,9,3,0.14599609375,2
expected_response_class,answer_with_safety_framing,10,194.0,364.5,183.0,221.6,10,0,0.001953125,4
expected_response_class,avoid_unsupported_inference,10,62.0,159.0,104.5,100.8,9,1,0.021484375,0
expected_response_class,direct_answer,10,27.5,54.5,24.0,26.9,9,1,0.021484375,4
expected_response_class,follow_format,8,53.5,105.0,1.5,-12.0,5,3,0.7265625,1
expected_response_class,refuse_or_safe_redirect,10,33.0,115.5,101.5,76.6,9,1,0.021484375,6
